SORT_ROW,SORT_COLUMN,PIN_NUMBER,XC3S400,XC3S400_TYPE,XC3S1000,XC3S1000_TYPE,XC3S1500,XC3S1500_TYPE,BANK
F,16,F16,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2
F,17,F17,IO_L23P_2,I/O,IO_L23P_2,I/O,IO_L23P_2,I/O,2
F,18,F18,GND,GND,GND,GND,GND,GND,N/A
G,1,G1,IO_L23N_7,I/O,IO_L23N_7,I/O,IO_L23N_7,I/O,7
G,2,G2,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
G,3,G3,IO_L24P_7,I/O,IO_L24P_7,I/O,IO_L24P_7,I/O,7
G,4,G4,IO_L24N_7,I/O,IO_L24N_7,I/O,IO_L24N_7,I/O,7
G,5,G5,IO_L22N_7,I/O,IO_L22N_7,I/O,IO_L22N_7,I/O,7
G,6,G6,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
G,7,G7,GND,GND,GND,GND,GND,GND,N/A
G,8,G8,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0
G,9,G9,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0
G,10,G10,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1
G,11,G11,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1
G,12,G12,GND,GND,GND,GND,GND,GND,N/A
G,13,G13,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
G,14,G14,IO_L22P_2,I/O,IO_L22P_2,I/O,IO_L22P_2,I/O,2
G,15,G15,IO_L24N_2,I/O,IO_L24N_2,I/O,IO_L24N_2,I/O,2
G,16,G16,IO_L24P_2,I/O,IO_L24P_2,I/O,IO_L24P_2,I/O,2
G,17,G17,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
G,18,G18,IO_L23N_2/VREF_2,VREF,IO_L23N_2/VREF_2,VREF,IO_L23N_2/VREF_2,VREF,2
H,1,H1,IO_L35N_7,I/O,IO_L35N_7,I/O,IO_L35N_7,I/O,7
H,2,H2,IO_L35P_7,I/O,IO_L35P_7,I/O,IO_L35P_7,I/O,7
H,3,H3,IO_L34P_7,I/O,IO_L34P_7,I/O,IO_L34P_7,I/O,7
H,4,H4,IO_L34N_7,I/O,IO_L34N_7,I/O,IO_L34N_7,I/O,7
H,5,H5,IO_L27N_7,I/O,IO_L27N_7,I/O,IO_L27N_7,I/O,7
H,6,H6,IO_L27P_7/VREF_7,VREF,IO_L27P_7/VREF_7,VREF,IO_L27P_7/VREF_7,VREF,7
H,7,H7,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,7
H,8,H8,GND,GND,GND,GND,GND,GND,N/A
H,9,H9,GND,GND,GND,GND,GND,GND,N/A
H,10,H10,GND,GND,GND,GND,GND,GND,N/A
H,11,H11,GND,GND,GND,GND,GND,GND,N/A
H,12,H12,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2
H,13,H13,IO_L27N_2,I/O,IO_L27N_2,I/O,IO_L27N_2,I/O,2
H,14,H14,IO_L27P_2,I/O,IO_L27P_2,I/O,IO_L27P_2,I/O,2
H,15,H15,IO_L34P_2,I/O,IO_L34P_2,I/O,IO_L34P_2,I/O,2
H,16,H16,IO_L34N_2/VREF_2,VREF,IO_L34N_2/VREF_2,VREF,IO_L34N_2/VREF_2,VREF,2
H,17,H17,IO_L35N_2,I/O,IO_L35N_2,I/O,IO_L35N_2,I/O,2
H,18,H18,IO_L35P_2,I/O,IO_L35P_2,I/O,IO_L35P_2,I/O,2
J,1,J1,IO_L39N_7,I/O,IO_L39N_7,I/O,IO_L39N_7,I/O,7
J,2,J2,IO_L39P_7,I/O,IO_L39P_7,I/O,IO_L39P_7,I/O,7
J,3,J3,GND,GND,GND,GND,GND,GND,N/A
J,4,J4,IO_L40P_7,I/O,IO_L40P_7,I/O,IO_L40P_7,I/O,7
J,5,J5,IO_L40N_7/VREF_7,VREF,IO_L40N_7/VREF_7,VREF,IO_L40N_7/VREF_7,VREF,7
J,6,J6,IO,I/O,IO,I/O,IO,I/O,7
J,7,J7,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,7
J,8,J8,GND,GND,GND,GND,GND,GND,N/A
J,11,J11,GND,GND,GND,GND,GND,GND,N/A
J,12,J12,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2
J,13,J13,IO,I/O,IO,I/O,IO,I/O,2
J,14,J14,IO_L40P_2/VREF_2,VREF,IO_L40P_2/VREF_2,VREF,IO_L40P_2/VREF_2,VREF,2
J,15,J15,IO_L40N_2,I/O,IO_L40N_2,I/O,IO_L40N_2,I/O,2
J,16,J16,GND,GND,GND,GND,GND,GND,N/A
J,17,J17,IO_L39P_2,I/O,IO_L39P_2,I/O,IO_L39P_2,I/O,2
J,18,J18,IO_L39N_2,I/O,IO_L39N_2,I/O,IO_L39N_2,I/O,2
K,1,K1,IO_L40N_6,I/O,IO_L40N_6,I/O,IO_L40N_6,I/O,6
K,2,K2,IO_L40P_6/VREF_6,VREF,IO_L40P_6/VREF_6,VREF,IO_L40P_6/VREF_6,VREF,6
K,3,K3,GND,GND,GND,GND,GND,GND,N/A
K,4,K4,IO_L39P_6,I/O,IO_L39P_6,I/O,IO_L39P_6,I/O,6
K,5,K5,IO_L39N_6,I/O,IO_L39N_6,I/O,IO_L39N_6,I/O,6
K,6,K6,IO,I/O,IO,I/O,IO,I/O,6
K,7,K7,VCCO_6,VCCO,VCCO_6,VCCO,VCCO_6,VCCO,6
K,8,K8,GND,GND,GND,GND,GND,GND,N/A
K,11,K11,GND,GND,GND,GND,GND,GND,N/A
K,12,K12,VCCO_3,VCCO,VCCO_3,VCCO,VCCO_3,VCCO,3
K,13,K13,IO_L39N_3,I/O,IO_L39N_3,I/O,IO_L39N_3,I/O,3
K,14,K14,IO_L39P_3,I/O,IO_L39P_3,I/O,IO_L39P_3,I/O,3
K,15,K15,IO,I/O,IO,I/O,IO,I/O,3
K,16,K16,GND,GND,GND,GND,GND,GND,N/A
K,17,K17,IO_L40N_3/VREF_3,VREF,IO_L40N_3/VREF_3,VREF,IO_L40N_3/VREF_3,VREF,3
K,18,K18,IO_L40P_3,I/O,IO_L40P_3,I/O,IO_L40P_3,I/O,3
L,1,L1,IO_L35P_6,I/O,IO_L35P_6,I/O,IO_L35P_6,I/O,6
L,2,L2,IO_L35N_6,I/O,IO_L35N_6,I/O,IO_L35N_6,I/O,6
L,3,L3,IO_L34N_6/VREF_6,VREF,IO_L34N_6/VREF_6,VREF,IO_L34N_6/VREF_6,VREF,6
L,4,L4,IO_L34P_6,I/O,IO_L34P_6,I/O,IO_L34P_6,I/O,6
L,5,L5,IO_L27P_6,I/O,IO_L27P_6,I/O,IO_L27P_6,I/O,6
L,6,L6,IO_L27N_6,I/O,IO_L27N_6,I/O,IO_L27N_6,I/O,6
L,7,L7,VCCO_6,VCCO,VCCO_6,VCCO,VCCO_6,VCCO,6
L,8,L8,GND,GND,GND,GND,GND,GND,N/A
L,9,L9,GND,GND,GND,GND,GND,GND,N/A
L,10,L10,GND,GND,GND,GND,GND,GND,N/A
L,11,L11,GND,GND,GND,GND,GND,GND,N/A
L,12,L12,VCCO_3,VCCO,VCCO_3,VCCO,VCCO_3,VCCO,3
L,13,L13,IO_L27P_3,I/O,IO_L27P_3,I/O,IO_L27P_3,I/O,3
L,14,L14,IO_L27N_3,I/O,IO_L27N_3,I/O,IO_L27N_3,I/O,3
L,15,L15,IO_L34N_3,I/O,IO_L34N_3,I/O,IO_L34N_3,I/O,3
L,16,L16,IO_L34P_3/VREF_3,VREF,IO_L34P_3/VREF_3,VREF,IO_L34P_3/VREF_3,VREF,3
L,17,L17,IO_L35P_3,I/O,IO_L35P_3,I/O,IO_L35P_3,I/O,3
L,18,L18,IO_L35N_3,I/O,IO_L35N_3,I/O,IO_L35N_3,I/O,3
M,1,M1,IO_L24P_6,I/O,IO_L24P_6,I/O,IO_L24P_6,I/O,6
M,2,M2,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
M,3,M3,IO_L23N_6,I/O,IO_L23N_6,I/O,IO_L23N_6,I/O,6
M,4,M4,IO_L23P_6,I/O,IO_L23P_6,I/O,IO_L23P_6,I/O,6
M,5,M5,IO_L22P_6,I/O,IO_L22P_6,I/O,IO_L22P_6,I/O,6
M,6,M6,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
M,7,M7,GND,GND,GND,GND,GND,GND,N/A
M,8,M8,VCCO_5,VCCO,VCCO_5,VCCO,VCCO_5,VCCO,5
M,9,M9,VCCO_5,VCCO,VCCO_5,VCCO,VCCO_5,VCCO,5
M,10,M10,VCCO_4,VCCO,VCCO_4,VCCO,VCCO_4,VCCO,4
M,11,M11,VCCO_4,VCCO,VCCO_4,VCCO,VCCO_4,VCCO,4
M,12,M12,GND,GND,GND,GND,GND,GND,N/A
M,13,M13,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
M,14,M14,IO_L22N_3,I/O,IO_L22N_3,I/O,IO_L22N_3,I/O,3
M,15,M15,IO_L23N_3,I/O,IO_L23N_3,I/O,IO_L23N_3,I/O,3
M,16,M16,IO_L23P_3/VREF_3,VREF,IO_L23P_3/VREF_3,VREF,IO_L23P_3/VREF_3,VREF,3
M,17,M17,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
M,18,M18,IO_L24N_3,I/O,IO_L24N_3,I/O,IO_L24N_3,I/O,3
N,1,N1,GND,GND,GND,GND,GND,GND,N/A
N,2,N2,IO_L24N_6/VREF_6,VREF,IO_L24N_6/VREF_6,VREF,IO_L24N_6/VREF_6,VREF,6
N,3,N3,VCCO_6,VCCO,VCCO_6,VCCO,VCCO_6,VCCO,6
N,4,N4,IO_L21N_6,I/O,IO_L21N_6,I/O,IO_L21N_6,I/O,6
N,5,N5,IO_L22N_6,I/O,IO_L22N_6,I/O,IO_L22N_6,I/O,6
N,6,N6,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
N,7,N7,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
N,8,N8,IO,I/O,IO,I/O,IO,I/O,5
N,9,N9,IO_L32N_5/GCLK3,GCLK,IO_L32N_5/GCLK3,GCLK,IO_L32N_5/GCLK3,GCLK,5
N,10,N10,IO_L32N_4/GCLK1,GCLK,IO_L32N_4/GCLK1,GCLK,IO_L32N_4/GCLK1,GCLK,4
N,11,N11,IO_L30N_4/D2,DUAL,IO_L30N_4/D2,DUAL,IO_L30N_4/D2,DUAL,4
N,12,N12,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
N,13,N13,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
N,14,N14,IO_L22P_3,I/O,IO_L22P_3,I/O,IO_L22P_3,I/O,3
N,15,N15,IO_L21P_3,I/O,IO_L21P_3,I/O,IO_L21P_3,I/O,3
N,16,N16,VCCO_3,VCCO,VCCO_3,VCCO,VCCO_3,VCCO,3
N,17,N17,IO_L24P_3,I/O,IO_L24P_3,I/O,IO_L24P_3,I/O,3
N,18,N18,GND,GND,GND,GND,GND,GND,N/A
P,1,P1,IO_L20P_6,I/O,IO_L20P_6,I/O,IO_L20P_6,I/O,6
P,2,P2,IO_L20N_6,I/O,IO_L20N_6,I/O,IO_L20N_6,I/O,6
P,3,P3,IO_L19P_6,I/O,IO_L19P_6,I/O,IO_L19P_6,I/O,6
P,4,P4,IO_L21P_6,I/O,IO_L21P_6,I/O,IO_L21P_6,I/O,6
P,5,P5,M0,CONFIG,M0,CONFIG,M0,CONFIG,VCCAUX
P,6,P6,IO_L27N_5/VREF_5,VREF,IO_L27N_5/VREF_5,VREF,IO_L27N_5/VREF_5,VREF,5
P,7,P7,IO_L27P_5,I/O,IO_L27P_5,I/O,IO_L27P_5,I/O,5
P,8,P8,IO,I/O,IO,I/O,IO,I/O,5
P,9,P9,IO_L32P_5/GCLK2,GCLK,IO_L32P_5/GCLK2,GCLK,IO_L32P_5/GCLK2,GCLK,5
P,10,P10,IO_L32P_4/GCLK0,GCLK,IO_L32P_4/GCLK0,GCLK,IO_L32P_4/GCLK0,GCLK,4
P,11,P11,IO_L30P_4/D3,DUAL,IO_L30P_4/D3,DUAL,IO_L30P_4/D3,DUAL,4
P,12,P12,IO,I/O,IO,I/O,IO,I/O,4
P,13,P13,IO_L25P_4,I/O,IO_L25P_4,I/O,IO_L25P_4,I/O,4
P,14,P14,IO_L06N_4/VREF_4,VREF,IO_L06N_4/VREF_4,VREF,IO_L06N_4/VREF_4,VREF,4
P,15,P15,IO_L21N_3,I/O,IO_L21N_3,I/O,IO_L21N_3,I/O,3
P,16,P16,IO_L17N_3,I/O,IO_L17N_3,I/O,IO_L17N_3,I/O,3
P,17,P17,IO_L20P_3,I/O,IO_L20P_3,I/O,IO_L20P_3,I/O,3
P,18,P18,IO_L20N_3,I/O,IO_L20N_3,I/O,IO_L20N_3,I/O,3
R,1,R1,IO_L17P_6/VREF_6,VREF,IO_L17P_6/VREF_6,VREF,IO_L17P_6/VREF_6,VREF,6
R,2,R2,IO_L17N_6,I/O,IO_L17N_6,I/O,IO_L17N_6,I/O,6
R,3,R3,IO_L19N_6,I/O,IO_L19N_6,I/O,IO_L19N_6,I/O,6
R,4,R4,M2,CONFIG,M2,CONFIG,M2,CONFIG,VCCAUX
R,5,R5,IO_L15P_5,I/O,IO_L15P_5,I/O,IO_L15P_5,I/O,5
R,6,R6,IO_L15N_5,I/O,IO_L15N_5,I/O,IO_L15N_5,I/O,5
R,7,R7,IO_L28N_5/D6,DUAL,IO_L28N_5/D6,DUAL,IO_L28N_5/D6,DUAL,5
R,8,R8,IO_L30N_5,I/O,IO_L30N_5,I/O,IO_L30N_5,I/O,5
R,9,R9,IO/VREF_5,VREF,IO/VREF_5,VREF,IO/VREF_5,VREF,5
R,10,R10,IO/VREF_4,VREF,IO/VREF_4,VREF,IO/VREF_4,VREF,4
R,11,R11,IO_L29N_4,I/O,IO_L29N_4,I/O,IO_L29N_4,I/O,4
R,12,R12,IO_L27P_4/D1,DUAL,IO_L27P_4/D1,DUAL,IO_L27P_4/D1,DUAL,4
R,13,R13,IO_L25N_4,I/O,IO_L25N_4,I/O,IO_L25N_4,I/O,4
R,14,R14,IO_L06P_4,I/O,IO_L06P_4,I/O,IO_L06P_4,I/O,4
R,15,R15,DONE,CONFIG,DONE,CONFIG,DONE,CONFIG,VCCAUX
R,16,R16,IO_L17P_3/VREF_3,VREF,IO_L17P_3/VREF_3,VREF,IO_L17P_3/VREF_3,VREF,3
R,17,R17,IO_L19N_3,I/O,IO_L19N_3,I/O,IO_L19N_3,I/O,3
R,18,R18,IO_L19P_3,I/O,IO_L19P_3,I/O,IO_L19P_3,I/O,3
T,1,T1,IO_L16P_6,I/O,IO_L16P_6,I/O,IO_L16P_6,I/O,6
T,2,T2,IO_L01P_6/VRN_6,DCI,IO_L01P_6/VRN_6,DCI,IO_L01P_6/VRN_6,DCI,6
T,3,T3,IO_L01N_6/VRP_6,DCI,IO_L01N_6/VRP_6,DCI,IO_L01N_6/VRP_6,DCI,6
T,4,T4,IO_L06P_5,I/O,IO_L06P_5,I/O,IO_L06P_5,I/O,5
T,5,T5,IO_L06N_5,I/O,IO_L06N_5,I/O,IO_L06N_5,I/O,5
T,6,T6,VCCO_5,VCCO,VCCO_5,VCCO,VCCO_5,VCCO,5
T,7,T7,IO_L28P_5/D7,DUAL,IO_L28P_5/D7,DUAL,IO_L28P_5/D7,DUAL,5
T,8,T8,IO_L30P_5,I/O,IO_L30P_5,I/O,IO_L30P_5,I/O,5
T,9,T9,GND,GND,GND,GND,GND,GND,N/A
T,10,T10,GND,GND,GND,GND,GND,GND,N/A
T,11,T11,IO_L29P_4,I/O,IO_L29P_4,I/O,IO_L29P_4,I/O,4
T,12,T12,IO_L27N_4/DIN/D0,DUAL,IO_L27N_4/DIN/D0,DUAL,IO_L27N_4/DIN/D0,DUAL,4
T,13,T13,VCCO_4,VCCO,VCCO_4,VCCO,VCCO_4,VCCO,4
T,14,T14,IO_L10N_4,I/O,IO_L10N_4,I/O,IO_L10N_4,I/O,4
T,15,T15,CCLK,CONFIG,CCLK,CONFIG,CCLK,CONFIG,VCCAUX
T,16,T16,IO_L01P_3/VRN_3,DCI,IO_L01P_3/VRN_3,DCI,IO_L01P_3/VRN_3,DCI,3
T,17,T17,IO_L01N_3/VRP_3,DCI,IO_L01N_3/VRP_3,DCI,IO_L01N_3/VRP_3,DCI,3
T,18,T18,IO_L16N_3,I/O,IO_L16N_3,I/O,IO_L16N_3,I/O,3
U,1,U1,IO_L16N_6,I/O,IO_L16N_6,I/O,IO_L16N_6,I/O,6
U,2,U2,GND,GND,GND,GND,GND,GND,N/A
U,3,U3,M1,CONFIG,M1,CONFIG,M1,CONFIG,VCCAUX
U,4,U4,IO_L10P_5/VRN_5,DCI,IO_L10P_5/VRN_5,DCI,IO_L10P_5/VRN_5,DCI,5
U,5,U5,IO_L16P_5,I/O,IO_L16P_5,I/O,IO_L16P_5,I/O,5
U,6,U6,IO,I/O,IO,I/O,IO,I/O,5
