SORT_ROW,SORT_ROW_#,SORT_COLUMN,PIN_NUMBER,XC3S400,XC3S400_TYPE,XC3S1000,XC3S1000_TYPE,XC3S1500,XC3S1500_TYPE,XC3S2000,XC3S2000_TYPE,BANK
C,3,1,C1,IO_L16P_7/VREF_7,VREF,IO_L16P_7/VREF_7,VREF,IO_L16P_7/VREF_7,VREF,IO_L16P_7/VREF_7,VREF,7
C,3,2,C2,IO,I/O,IO,I/O,IO,I/O,IO,I/O,7
C,3,3,C3,IO_L01N_7/VRP_7,DCI,IO_L01N_7/VRP_7,DCI,IO_L01N_7/VRP_7,DCI,IO_L01N_7/VRP_7,DCI,7
C,3,4,C4,IO_L01P_7/VRN_7,DCI,IO_L01P_7/VRN_7,DCI,IO_L01P_7/VRN_7,DCI,IO_L01P_7/VRN_7,DCI,7
C,3,5,C5,IO_L06P_0,I/O,IO_L06P_0,I/O,IO_L06P_0,I/O,IO_L06P_0,I/O,0
C,3,6,C6,IO_L15N_0,I/O,IO_L15N_0,I/O,IO_L15N_0,I/O,IO_L15N_0,I/O,0
C,3,7,C7,IO/VREF_0,VREF,IO/VREF_0,VREF,IO/VREF_0,VREF,IO/VREF_0,VREF,0
C,3,8,C8,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0
C,3,9,C9,GND,GND,GND,GND,GND,GND,GND,GND,N/A
C,3,10,C10,IO_L29N_0,I/O,IO_L29N_0,I/O,IO_L29N_0,I/O,IO_L29N_0,I/O,0
C,3,11,C11,IO_L31P_0/VREF_0,VREF,IO_L31P_0/VREF_0,VREF,IO_L31P_0/VREF_0,VREF,IO_L31P_0/VREF_0,VREF,0
C,3,12,C12,IO_L32P_1/GCLK4,GCLK,IO_L32P_1/GCLK4,GCLK,IO_L32P_1/GCLK4,GCLK,IO_L32P_1/GCLK4,GCLK,1
C,3,13,C13,IO_L29N_1,I/O,IO_L29N_1,I/O,IO_L29N_1,I/O,IO_L29N_1,I/O,1
C,3,14,C14,GND,GND,GND,GND,GND,GND,GND,GND,N/A
C,3,15,C15,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1
C,3,16,C16,N.C.,N.C.,IO_L19N_1,I/O,IO_L19N_1,I/O,IO_L19N_1,I/O,1
C,3,17,C17,IO_L16P_1,I/O,IO_L16P_1,I/O,IO_L16P_1,I/O,IO_L16P_1,I/O,1
C,3,18,C18,IO_L09N_1,I/O,IO_L09N_1,I/O,IO_L09N_1,I/O,IO_L09N_1,I/O,1
C,3,19,C19,IO_L01N_1/VRP_1,DCI,IO_L01N_1/VRP_1,DCI,IO_L01N_1/VRP_1,DCI,IO_L01N_1/VRP_1,DCI,1
C,3,20,C20,IO_L01N_2/VRP_2,DCI,IO_L01N_2/VRP_2,DCI,IO_L01N_2/VRP_2,DCI,IO_L01N_2/VRP_2,DCI,2
C,3,21,C21,IO_L01P_2/VRN_2,DCI,IO_L01P_2/VRN_2,DCI,IO_L01P_2/VRN_2,DCI,IO_L01P_2/VRN_2,DCI,2
C,3,22,C22,IO,I/O,IO,I/O,IO,I/O,IO,I/O,2
D,4,1,D1,IO_L16N_7,I/O,IO_L16N_7,I/O,IO_L16N_7,I/O,IO_L16N_7,I/O,7
D,4,2,D2,IO_L19P_7,I/O,IO_L19P_7,I/O,IO_L19P_7,I/O,IO_L19P_7,I/O,7
D,4,3,D3,IO_L19N_7/VREF_7,VREF,IO_L19N_7/VREF_7,VREF,IO_L19N_7/VREF_7,VREF,IO_L19N_7/VREF_7,VREF,7
D,4,4,D4,IO_L17P_7,I/O,IO_L17P_7,I/O,IO_L17P_7,I/O,IO_L17P_7,I/O,7
D,4,5,D5,IO_L06N_0,I/O,IO_L06N_0,I/O,IO_L06N_0,I/O,IO_L06N_0,I/O,0
D,4,6,D6,IO_L10P_0,I/O,IO_L10P_0,I/O,IO_L10P_0,I/O,IO_L10P_0,I/O,0
D,4,7,D7,IO_L16P_0,I/O,IO_L16P_0,I/O,IO_L16P_0,I/O,IO_L16P_0,I/O,0
D,4,8,D8,N.C.,N.C.,IO_L22P_0,I/O,IO_L22P_0,I/O,IO_L22P_0,I/O,0
D,4,9,D9,IO,I/O,IO,I/O,IO,I/O,IO,I/O,0
D,4,10,D10,IO,I/O,IO,I/O,IO,I/O,IO,I/O,0
D,4,11,D11,IO_L31N_0,I/O,IO_L31N_0,I/O,IO_L31N_0,I/O,IO_L31N_0,I/O,0
D,4,12,D12,IO_L31N_1/VREF_1,VREF,IO_L31N_1/VREF_1,VREF,IO_L31N_1/VREF_1,VREF,IO_L31N_1/VREF_1,VREF,1
D,4,13,D13,IO_L29P_1,I/O,IO_L29P_1,I/O,IO_L29P_1,I/O,IO_L29P_1,I/O,1
D,4,14,D14,IO_L27N_1,I/O,IO_L27N_1,I/O,IO_L27N_1,I/O,IO_L27N_1,I/O,1
D,4,15,D15,IO_L24N_1,I/O,IO_L24N_1,I/O,IO_L24N_1,I/O,IO_L24N_1,I/O,1
D,4,16,D16,N.C.,N.C.,IO_L19P_1,I/O,IO_L19P_1,I/O,IO_L19P_1,I/O,1
D,4,17,D17,IO_L15N_1,I/O,IO_L15N_1,I/O,IO_L15N_1,I/O,IO_L15N_1,I/O,1
D,4,18,D18,IO_L09P_1,I/O,IO_L09P_1,I/O,IO_L09P_1,I/O,IO_L09P_1,I/O,1
D,4,19,D19,IO_L16P_2,I/O,IO_L16P_2,I/O,IO_L16P_2,I/O,IO_L16P_2,I/O,2
D,4,20,D20,IO_L16N_2,I/O,IO_L16N_2,I/O,IO_L16N_2,I/O,IO_L16N_2,I/O,2
D,4,21,D21,IO_L17N_2,I/O,IO_L17N_2,I/O,IO_L17N_2,I/O,IO_L17N_2,I/O,2
D,4,22,D22,IO_L17P_2/VREF_2,VREF,IO_L17P_2/VREF_2,VREF,IO_L17P_2/VREF_2,VREF,IO_L17P_2/VREF_2,VREF,2
E,5,1,E1,IO_L21N_7,I/O,IO_L21N_7,I/O,IO_L21N_7,I/O,IO_L21N_7,I/O,7
E,5,2,E2,IO_L21P_7,I/O,IO_L21P_7,I/O,IO_L21P_7,I/O,IO_L21P_7,I/O,7
E,5,3,E3,IO_L20P_7,I/O,IO_L20P_7,I/O,IO_L20P_7,I/O,IO_L20P_7,I/O,7
E,5,4,E4,IO_L17N_7,I/O,IO_L17N_7,I/O,IO_L17N_7,I/O,IO_L17N_7,I/O,7
E,5,5,E5,N.C.,N.C.,IO/VREF_0,VREF,IO/VREF_0,VREF,IO/VREF_0,VREF,0
E,5,6,E6,IO_L10N_0,I/O,IO_L10N_0,I/O,IO_L10N_0,I/O,IO_L10N_0,I/O,0
E,5,7,E7,IO_L16N_0,I/O,IO_L16N_0,I/O,IO_L16N_0,I/O,IO_L16N_0,I/O,0
E,5,8,E8,N.C.,N.C.,IO_L22N_0,I/O,IO_L22N_0,I/O,IO_L22N_0,I/O,0
E,5,9,E9,IO_L25P_0,I/O,IO_L25P_0,I/O,IO_L25P_0,I/O,IO_L25P_0,I/O,0
E,5,10,E10,IO_L28P_0,I/O,IO_L28P_0,I/O,IO_L28P_0,I/O,IO_L28P_0,I/O,0
E,5,11,E11,IO_L30P_0,I/O,IO_L30P_0,I/O,IO_L30P_0,I/O,IO_L30P_0,I/O,0
E,5,12,E12,IO_L31P_1,I/O,IO_L31P_1,I/O,IO_L31P_1,I/O,IO_L31P_1,I/O,1
E,5,13,E13,IO/VREF_1,VREF,IO/VREF_1,VREF,IO/VREF_1,VREF,IO/VREF_1,VREF,1
E,5,14,E14,IO_L27P_1,I/O,IO_L27P_1,I/O,IO_L27P_1,I/O,IO_L27P_1,I/O,1
E,5,15,E15,IO_L24P_1,I/O,IO_L24P_1,I/O,IO_L24P_1,I/O,IO_L24P_1,I/O,1
E,5,16,E16,IO,I/O,IO,I/O,IO,I/O,IO,I/O,1
E,5,17,E17,IO_L15P_1,I/O,IO_L15P_1,I/O,IO_L15P_1,I/O,IO_L15P_1,I/O,1
E,5,18,E18,IO_L19N_2,I/O,IO_L19N_2,I/O,IO_L19N_2,I/O,IO_L19N_2,I/O,2
E,5,19,E19,IO_L20N_2,I/O,IO_L20N_2,I/O,IO_L20N_2,I/O,IO_L20N_2,I/O,2
E,5,20,E20,IO_L20P_2,I/O,IO_L20P_2,I/O,IO_L20P_2,I/O,IO_L20P_2,I/O,2
E,5,21,E21,IO_L21N_2,I/O,IO_L21N_2,I/O,IO_L21N_2,I/O,IO_L21N_2,I/O,2
E,5,22,E22,IO_L21P_2,I/O,IO_L21P_2,I/O,IO_L21P_2,I/O,IO_L21P_2,I/O,2
F,6,1,F1,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
F,6,2,F2,IO_L23N_7,I/O,IO_L23N_7,I/O,IO_L23N_7,I/O,IO_L23N_7,I/O,7
F,6,3,F3,IO_L23P_7,I/O,IO_L23P_7,I/O,IO_L23P_7,I/O,IO_L23P_7,I/O,7
F,6,4,F4,IO_L20N_7,I/O,IO_L20N_7,I/O,IO_L20N_7,I/O,IO_L20N_7,I/O,7
F,6,5,F5,IO_L22P_7,I/O,IO_L22P_7,I/O,IO_L22P_7,I/O,IO_L22P_7,I/O,7
F,6,6,F6,IO,I/O,IO,I/O,IO,I/O,IO,I/O,0
F,6,7,F7,IO/VREF_0,VREF,IO/VREF_0,VREF,IO/VREF_0,VREF,IO/VREF_0,VREF,0
F,6,8,F8,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0
F,6,9,F9,IO_L25N_0,I/O,IO_L25N_0,I/O,IO_L25N_0,I/O,IO_L25N_0,I/O,0
F,6,10,F10,IO_L28N_0,I/O,IO_L28N_0,I/O,IO_L28N_0,I/O,IO_L28N_0,I/O,0
F,6,11,F11,IO_L30N_0,I/O,IO_L30N_0,I/O,IO_L30N_0,I/O,IO_L30N_0,I/O,0
F,6,12,F12,IO,I/O,IO,I/O,IO,I/O,IO,I/O,1
F,6,13,F13,IO,I/O,IO,I/O,IO,I/O,IO,I/O,1
F,6,14,F14,N.C.,N.C.,IO/VREF_1,VREF,IO/VREF_1,VREF,IO/VREF_1,VREF,1
F,6,15,F15,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1
F,6,16,F16,IO,I/O,IO,I/O,IO,I/O,IO,I/O,1
F,6,17,F17,IO,I/O,IO,I/O,IO,I/O,IO,I/O,1
F,6,18,F18,IO_L19P_2,I/O,IO_L19P_2,I/O,IO_L19P_2,I/O,IO_L19P_2,I/O,2
F,6,19,F19,IO_L23N_2/VREF_2,VREF,IO_L23N_2/VREF_2,VREF,IO_L23N_2/VREF_2,VREF,IO_L23N_2/VREF_2,VREF,2
F,6,20,F20,IO_L24N_2,I/O,IO_L24N_2,I/O,IO_L24N_2,I/O,IO_L24N_2,I/O,2
F,6,21,F21,IO_L24P_2,I/O,IO_L24P_2,I/O,IO_L24P_2,I/O,IO_L24P_2,I/O,2
F,6,22,F22,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
G,7,1,G1,IO_L27N_7,I/O,IO_L27N_7,I/O,IO_L27N_7,I/O,IO_L27N_7,I/O,7
G,7,2,G2,IO_L27P_7/VREF_7,VREF,IO_L27P_7/VREF_7,VREF,IO_L27P_7/VREF_7,VREF,IO_L27P_7/VREF_7,VREF,7
G,7,3,G3,N.C.,N.C.,IO_L26N_7,I/O,IO_L26N_7,I/O,IO_L26N_7,I/O,7
G,7,4,G4,N.C.,N.C.,IO_L26P_7,I/O,IO_L26P_7,I/O,IO_L26P_7,I/O,7
G,7,5,G5,IO_L24P_7,I/O,IO_L24P_7,I/O,IO_L24P_7,I/O,IO_L24P_7,I/O,7
G,7,6,G6,IO_L22N_7,I/O,IO_L22N_7,I/O,IO_L22N_7,I/O,IO_L22N_7,I/O,7
G,7,7,G7,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
G,7,8,G8,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
G,7,9,G9,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0
G,7,10,G10,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0
G,7,11,G11,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0
G,7,12,G12,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1
G,7,13,G13,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1
G,7,14,G14,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1
G,7,15,G15,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
G,7,16,G16,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
G,7,17,G17,IO_L22N_2,I/O,IO_L22N_2,I/O,IO_L22N_2,I/O,IO_L22N_2,I/O,2
G,7,18,G18,IO_L22P_2,I/O,IO_L22P_2,I/O,IO_L22P_2,I/O,IO_L22P_2,I/O,2
G,7,19,G19,IO_L23P_2,I/O,IO_L23P_2,I/O,IO_L23P_2,I/O,IO_L23P_2,I/O,2
G,7,20,G20,N.C.,N.C.,IO_L26N_2,I/O,IO_L26N_2,I/O,IO_L26N_2,I/O,2
G,7,21,G21,IO_L27N_2,I/O,IO_L27N_2,I/O,IO_L27N_2,I/O,IO_L27N_2,I/O,2
G,7,22,G22,IO_L27P_2,I/O,IO_L27P_2,I/O,IO_L27P_2,I/O,IO_L27P_2,I/O,2
H,8,1,H1,N.C.,N.C.,IO_L28N_7,I/O,IO_L28N_7,I/O,IO_L28N_7,I/O,7
H,8,2,H2,N.C.,N.C.,IO_L28P_7,I/O,IO_L28P_7,I/O,IO_L28P_7,I/O,7
H,8,3,H3,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,7
H,8,4,H4,N.C.,N.C.,IO_L29P_7,I/O,IO_L29P_7,I/O,IO_L29P_7,I/O,7
H,8,5,H5,IO_L24N_7,I/O,IO_L24N_7,I/O,IO_L24N_7,I/O,IO_L24N_7,I/O,7
H,8,6,H6,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,7
H,8,7,H7,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
H,8,16,H16,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
H,8,17,H17,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2
H,8,18,H18,N.C.,N.C.,IO_L28N_2,I/O,IO_L28N_2,I/O,IO_L28N_2,I/O,2
H,8,19,H19,N.C.,N.C.,IO_L26P_2,I/O,IO_L26P_2,I/O,IO_L26P_2,I/O,2
H,8,20,H20,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2
H,8,21,H21,N.C.,N.C.,IO_L29N_2,I/O,IO_L29N_2,I/O,IO_L29N_2,I/O,2
H,8,22,H22,N.C.,N.C.,IO_L29P_2,I/O,IO_L29P_2,I/O,IO_L29P_2,I/O,2
J,9,1,J1,N.C.,N.C.,IO_L32N_7,I/O,IO_L32N_7,I/O,IO_L32N_7,I/O,7
J,9,2,J2,N.C.,N.C.,IO_L32P_7,I/O,IO_L32P_7,I/O,IO_L32P_7,I/O,7
J,9,3,J3,GND,GND,GND,GND,GND,GND,GND,GND,N/A
J,9,4,J4,N.C.,N.C.,IO_L29N_7,I/O,IO_L29N_7,I/O,IO_L29N_7,I/O,7
J,9,5,J5,N.C.,N.C.,IO_L31N_7,I/O,IO_L31N_7,I/O,IO_L31N_7,I/O,7
J,9,6,J6,N.C.,N.C.,IO_L31P_7,I/O,IO_L31P_7,I/O,IO_L31P_7,I/O,7
J,9,7,J7,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,7
J,9,9,J9,GND,GND,GND,GND,GND,GND,GND,GND,N/A
J,9,10,J10,GND,GND,GND,GND,GND,GND,GND,GND,N/A
J,9,11,J11,GND,GND,GND,GND,GND,GND,GND,GND,N/A
J,9,12,J12,GND,GND,GND,GND,GND,GND,GND,GND,N/A
J,9,13,J13,GND,GND,GND,GND,GND,GND,GND,GND,N/A
J,9,14,J14,GND,GND,GND,GND,GND,GND,GND,GND,N/A
J,9,16,J16,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2
J,9,17,J17,N.C.,N.C.,IO_L28P_2,I/O,IO_L28P_2,I/O,IO_L28P_2,I/O,2
J,9,18,J18,N.C.,N.C.,IO_L31N_2,I/O,IO_L31N_2,I/O,IO_L31N_2,I/O,2
J,9,19,J19,N.C.,N.C.,IO_L31P_2,I/O,IO_L31P_2,I/O,IO_L31P_2,I/O,2
J,9,20,J20,GND,GND,GND,GND,GND,GND,GND,GND,N/A
J,9,21,J21,N.C.,N.C.,IO_L32N_2,I/O,IO_L32N_2,I/O,IO_L32N_2,I/O,2
J,9,22,J22,N.C.,N.C.,IO_L32P_2,I/O,IO_L32P_2,I/O,IO_L32P_2,I/O,2
K,10,1,K1,IO_L35N_7,I/O,IO_L35N_7,I/O,IO_L35N_7,I/O,IO_L35N_7,I/O,7
K,10,2,K2,IO_L35P_7,I/O,IO_L35P_7,I/O,IO_L35P_7,I/O,IO_L35P_7,I/O,7
K,10,3,K3,IO_L34N_7,I/O,IO_L34N_7,I/O,IO_L34N_7,I/O,IO_L34N_7,I/O,7
K,10,4,K4,IO_L34P_7,I/O,IO_L34P_7,I/O,IO_L34P_7,I/O,IO_L34P_7,I/O,7
K,10,5,K5,N.C.,N.C.,IO_L33N_7,I/O,IO_L33N_7,I/O,IO_L33N_7,I/O,7
K,10,6,K6,N.C.,N.C.,IO_L33P_7,I/O,IO_L33P_7,I/O,IO_L33P_7,I/O,7
K,10,7,K7,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,7
K,10,9,K9,GND,GND,GND,GND,GND,GND,GND,GND,N/A
K,10,10,K10,GND,GND,GND,GND,GND,GND,GND,GND,N/A
K,10,11,K11,GND,GND,GND,GND,GND,GND,GND,GND,N/A
K,10,12,K12,GND,GND,GND,GND,GND,GND,GND,GND,N/A
K,10,13,K13,GND,GND,GND,GND,GND,GND,GND,GND,N/A
K,10,14,K14,GND,GND,GND,GND,GND,GND,GND,GND,N/A
K,10,16,K16,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2
K,10,17,K17,N.C.,N.C.,IO_L33N_2,I/O,IO_L33N_2,I/O,IO_L33N_2,I/O,2
K,10,18,K18,N.C.,N.C.,IO_L33P_2,I/O,IO_L33P_2,I/O,IO_L33P_2,I/O,2
K,10,19,K19,IO_L34N_2/VREF_2,VREF,IO_L34N_2/VREF_2,VREF,IO_L34N_2/VREF_2,VREF,IO_L34N_2/VREF_2,VREF,2
K,10,20,K20,IO_L34P_2,I/O,IO_L34P_2,I/O,IO_L34P_2,I/O,IO_L34P_2,I/O,2
K,10,21,K21,IO_L35N_2,I/O,IO_L35N_2,I/O,IO_L35N_2,I/O,IO_L35N_2,I/O,2
K,10,22,K22,IO_L35P_2,I/O,IO_L35P_2,I/O,IO_L35P_2,I/O,IO_L35P_2,I/O,2
L,11,1,L1,IO_L40N_7/VREF_7,VREF,IO_L40N_7/VREF_7,VREF,IO_L40N_7/VREF_7,VREF,IO_L40N_7/VREF_7,VREF,7
L,11,2,L2,IO_L40P_7,I/O,IO_L40P_7,I/O,IO_L40P_7,I/O,IO_L40P_7,I/O,7
L,11,3,L3,IO_L39N_7,I/O,IO_L39N_7,I/O,IO_L39N_7,I/O,IO_L39N_7,I/O,7
L,11,4,L4,IO_L39P_7,I/O,IO_L39P_7,I/O,IO_L39P_7,I/O,IO_L39P_7,I/O,7
L,11,5,L5,IO_L38N_7,I/O,IO_L38N_7,I/O,IO_L38N_7,I/O,IO_L38N_7,I/O,7
L,11,6,L6,IO_L38P_7,I/O,IO_L38P_7,I/O,IO_L38P_7,I/O,IO_L38P_7,I/O,7
L,11,7,L7,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,7
L,11,9,L9,GND,GND,GND,GND,GND,GND,GND,GND,N/A
L,11,10,L10,GND,GND,GND,GND,GND,GND,GND,GND,N/A
L,11,11,L11,GND,GND,GND,GND,GND,GND,GND,GND,N/A
L,11,12,L12,GND,GND,GND,GND,GND,GND,GND,GND,N/A
L,11,13,L13,GND,GND,GND,GND,GND,GND,GND,GND,N/A
L,11,14,L14,GND,GND,GND,GND,GND,GND,GND,GND,N/A
L,11,16,L16,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2
L,11,17,L17,IO_L38N_2,I/O,IO_L38N_2,I/O,IO_L38N_2,I/O,IO_L38N_2,I/O,2
L,11,18,L18,IO_L38P_2,I/O,IO_L38P_2,I/O,IO_L38P_2,I/O,IO_L38P_2,I/O,2
L,11,19,L19,IO_L39N_2,I/O,IO_L39N_2,I/O,IO_L39N_2,I/O,IO_L39N_2,I/O,2
L,11,20,L20,IO_L39P_2,I/O,IO_L39P_2,I/O,IO_L39P_2,I/O,IO_L39P_2,I/O,2
L,11,21,L21,IO_L40N_2,I/O,IO_L40N_2,I/O,IO_L40N_2,I/O,IO_L40N_2,I/O,2
