PIN,XC3SD1800ACS484_PIN,XC3SD1800ACS484_BANK,TYPE,DIFF_PAIR,ROW,ROW_#,COLUMN
J14,VCCINT,VCCINT,VCCINT,,J,9,14
J15,GND,GND,GND,,J,9,15
J16,VCCAUX,VCCAUX,VCCAUX,,J,9,16
J17,IO_L29N_1/A17,1,DUAL,TRUE,J,9,17
J18,VCCO_1,1,VCCO,,J,9,18
J19,IO_L32P_1,1,I/O,TRUE,J,9,19
J20,IO_L25N_1/A13,1,DUAL,TRUE,J,9,20
J21,IP_L27P_1,1,INPUT,TRUE,J,9,21
J22,IP_L27N_1,1,INPUT,TRUE,J,9,22
K1,IO_L19P_3/LHCLK2,3,LHCLK,TRUE,K,10,1
K2,IO_L17P_3,3,I/O,TRUE,K,10,2
K3,IO_L17N_3,3,I/O,TRUE,K,10,3
K4,IO_L13P_3,3,I/O,TRUE,K,10,4
K5,IO_L13N_3,3,I/O,TRUE,K,10,5
K6,IO_L15P_3,3,I/O,TRUE,K,10,6
K7,VCCAUX,VCCAUX,VCCAUX,,K,10,7
K8,GND,GND,GND,,K,10,8
K9,VCCINT,VCCINT,VCCINT,,K,10,9
K10,GND,GND,GND,,K,10,10
K11,VCCINT,VCCINT,VCCINT,,K,10,11
K12,GND,GND,GND,,K,10,12
K13,VCCINT,VCCINT,VCCINT,,K,10,13
K14,GND,GND,GND,,K,10,14
K15,VCCINT,VCCINT,VCCINT,,K,10,15
K16,IO_L29P_1/A16,1,DUAL,TRUE,K,10,16
K17,IP_L23N_1,1,INPUT,TRUE,K,10,17
K18,IO_L24N_1,1,I/O,TRUE,K,10,18
K19,IO_L24P_1,1,I/O,TRUE,K,10,19
K20,IO_L25P_1/A12,1,DUAL,TRUE,K,10,20
K21,VCCO_1,1,VCCO,,K,10,21
K22,IO_L22N_1/A11,1,DUAL,TRUE,K,10,22
L1,IO_L19N_3/IRDY2/LHCLK3,3,LHCLK,TRUE,L,11,1
L2,GND,GND,GND,,L,11,2
L3,IO_L20P_3/LHCLK4,3,LHCLK,TRUE,L,11,3
L4,VCCAUX,VCCAUX,VCCAUX,,L,11,4
L5,IO_L15N_3,3,I/O,TRUE,L,11,5
L6,IO_L18P_3/LHCLK0,3,LHCLK,TRUE,L,11,6
L7,GND,GND,GND,,L,11,7
L8,VCCINT,VCCINT,VCCINT,,L,11,8
L9,GND,GND,GND,,L,11,9
L10,VCCINT,VCCINT,VCCINT,,L,11,10
L11,GND,GND,GND,,L,11,11
L12,VCCINT,VCCINT,VCCINT,,L,11,12
L13,GND,GND,GND,,L,11,13
L14,VCCINT,VCCINT,VCCINT,,L,11,14
L15,GND,GND,GND,,L,11,15
L16,VCCAUX,VCCAUX,VCCAUX,,L,11,16
L17,IO_L21N_1/RHCLK7,1,RHCLK,TRUE,L,11,17
L18,IP_L23P_1/VREF_1,1,VREF,TRUE,L,11,18
L19,GND,GND,GND,,L,11,19
L20,IO_L20N_1/RHCLK5,1,RHCLK,TRUE,L,11,20
L21,IO_L20P_1/RHCLK4,1,RHCLK,TRUE,L,11,21
L22,IO_L22P_1/A10,1,DUAL,TRUE,L,11,22
M1,IO_L22P_3/VREF_3,3,VREF,TRUE,M,12,1
M2,IO_L20N_3/LHCLK5,3,LHCLK,TRUE,M,12,2
M3,IP_L23P_3,3,INPUT,TRUE,M,12,3
M4,GND,GND,GND,,M,12,4
M5,IO_L18N_3/LHCLK1,3,LHCLK,TRUE,M,12,5
M6,IO_L21P_3/TRDY2/LHCLK6,3,LHCLK,TRUE,M,12,6
M7,VCCAUX,VCCAUX,VCCAUX,,M,12,7
M8,GND,GND,GND,,M,12,8
M9,VCCINT,VCCINT,VCCINT,,M,12,9
M10,GND,GND,GND,,M,12,10
M11,VCCINT,VCCINT,VCCINT,,M,12,11
M12,GND,GND,GND,,M,12,12
M13,VCCINT,VCCINT,VCCINT,,M,12,13
M14,GND,GND,GND,,M,12,14
M15,VCCINT,VCCINT,VCCINT,,M,12,15
M16,GND,GND,GND,,M,12,16
M17,IO_L18N_1/RHCLK1,1,RHCLK,TRUE,M,12,17
M18,IO_L21P_1/IRDY1/RHCLK6,1,RHCLK,TRUE,M,12,18
M19,VCCAUX,VCCAUX,VCCAUX,,M,12,19
M20,IO_L19N_1/TRDY1/RHCLK3,1,RHCLK,TRUE,M,12,20
M21,GND,GND,GND,,M,12,21
M22,IO_L17N_1/A9,1,DUAL,TRUE,M,12,22
N1,IO_L22N_3,3,I/O,TRUE,N,13,1
N2,VCCO_3,3,VCCO,,N,13,2
N3,IP_L31P_3,3,INPUT,TRUE,N,13,3
N4,IP_L23N_3,3,INPUT,TRUE,N,13,4
N5,IO_L24N_3,3,I/O,TRUE,N,13,5
N6,IO_L24P_3,3,I/O,TRUE,N,13,6
N7,IO_L21N_3/LHCLK7,3,LHCLK,TRUE,N,13,7
N8,VCCINT,VCCINT,VCCINT,,N,13,8
N9,GND,GND,GND,,N,13,9
N10,VCCINT,VCCINT,VCCINT,,N,13,10
N11,GND,GND,GND,,N,13,11
N12,VCCINT,VCCINT,VCCINT,,N,13,12
N13,GND,GND,GND,,N,13,13
N14,VCCINT,VCCINT,VCCINT,,N,13,14
N15,GND,GND,GND,,N,13,15
N16,VCCAUX,VCCAUX,VCCAUX,,N,13,16
N17,IO_L13P_1/A2,1,DUAL,TRUE,N,13,17
N18,IO_L18P_1/RHCLK0,1,RHCLK,TRUE,N,13,18
N19,IO_L15N_1/A7,1,DUAL,TRUE,N,13,19
N20,IO_L15P_1/A6,1,DUAL,TRUE,N,13,20
N21,IO_L19P_1/RHCLK2,1,RHCLK,TRUE,N,13,21
N22,IO_L17P_1/A8,1,DUAL,TRUE,N,13,22
P1,IO_L25P_3,3,I/O,TRUE,P,14,1
P2,IO_L25N_3,3,I/O,TRUE,P,14,2
P3,IP_L31N_3,3,INPUT,TRUE,P,14,3
P4,IO_L32P_3/VREF_3,3,VREF,TRUE,P,14,4
P5,VCCO_3,3,VCCO,,P,14,5
P6,IO_L26P_3,3,I/O,TRUE,P,14,6
P7,VCCAUX,VCCAUX,VCCAUX,,P,14,7
P8,GND,GND,GND,,P,14,8
P9,VCCINT,VCCINT,VCCINT,,P,14,9
P10,GND,GND,GND,,P,14,10
P11,VCCINT,VCCINT,VCCINT,,P,14,11
P12,GND,GND,GND,,P,14,12
P13,VCCINT,VCCINT,VCCINT,,P,14,13
P14,GND,GND,GND,,P,14,14
P15,VCCINT,VCCINT,VCCINT,,P,14,15
P16,IO_L13N_1/A3,1,DUAL,TRUE,P,14,16
P17,IP_L12N_1/VREF_1,1,VREF,TRUE,P,14,17
P18,VCCO_1,1,VCCO,,P,14,18
P19,IO_L10P_1,1,I/O,TRUE,P,14,19
P20,IP_L16N_1,1,INPUT,TRUE,P,14,20
P21,VCCO_1,1,VCCO,,P,14,21
P22,IO_L14N_1/A5,1,DUAL,TRUE,P,14,22
R1,IO_L28N_3,3,I/O,TRUE,R,15,1
R2,IO_L28P_3,3,I/O,TRUE,R,15,2
R3,IO_L34P_3,3,I/O,TRUE,R,15,3
R4,GND,GND,GND,,R,15,4
R5,IO_L32N_3,3,I/O,TRUE,R,15,5
R6,IO_L26N_3,3,I/O,TRUE,R,15,6
R7,GND,GND,GND,,R,15,7
R8,VCCINT,VCCINT,VCCINT,,R,15,8
R9,GND,GND,GND,,R,15,9
R10,VCCINT,VCCINT,VCCINT,,R,15,10
R11,GND,GND,GND,,R,15,11
R12,VCCINT,VCCINT,VCCINT,,R,15,12
R13,GND,GND,GND,,R,15,13
R14,VCCINT,VCCINT,VCCINT,,R,15,14
R15,GND,GND,GND,,R,15,15
R16,GND,GND,GND,,R,15,16
R17,IP_L12P_1,1,INPUT,TRUE,R,15,17
R18,IO_L10N_1,1,I/O,TRUE,R,15,18
R19,IO_L07P_1,1,I/O,TRUE,R,15,19
R20,IO_L07N_1,1,I/O,TRUE,R,15,20
R21,IP_L16P_1/VREF_1,1,VREF,TRUE,R,15,21
R22,IO_L14P_1/A4,1,DUAL,TRUE,R,15,22
T1,IO_L30P_3,3,I/O,TRUE,T,16,1
T2,GND,GND,GND,,T,16,2
T3,IP_L27P_3,3,INPUT,TRUE,T,16,3
T4,IO_L34N_3,3,I/O,TRUE,T,16,4
T5,IO_L29N_3,3,I/O,TRUE,T,16,5
T6,IO_L29P_3,3,I/O,TRUE,T,16,6
T7,VCCINT,VCCINT,VCCINT,,T,16,7
T8,GND,GND,GND,,T,16,8
T9,VCCAUX,VCCAUX,VCCAUX,,T,16,9
T10,GND,GND,GND,,T,16,10
T11,VCCAUX,VCCAUX,VCCAUX,,T,16,11
T12,GND,GND,GND,,T,16,12
T13,VCCAUX,VCCAUX,VCCAUX,,T,16,13
T14,GND,GND,GND,,T,16,14
T15,GND,GND,GND,,T,16,15
T16,VCCINT,VCCINT,VCCINT,,T,16,16
T17,IO_L05N_1,1,I/O,TRUE,T,16,17
T18,IO_L05P_1,1,I/O,TRUE,T,16,18
T19,GND,GND,GND,,T,16,19
T20,IO_L09N_1,1,I/O,TRUE,T,16,20
T21,GND,GND,GND,,T,16,21
T22,IO_L11N_1/VREF_1,1,VREF,TRUE,T,16,22
U1,IO_L30N_3,3,I/O,TRUE,U,17,1
U2,IO_L33P_3,3,I/O,TRUE,U,17,2
U3,IP_L27N_3,3,INPUT,TRUE,U,17,3
U4,IO_L38P_3,3,I/O,TRUE,U,17,4
U5,IO_L38N_3,3,I/O,TRUE,U,17,5
U6,GND,GND,GND,,U,17,6
U7,IO_L02N_2/CSO_B,2,DUAL,TRUE,U,17,7
U8,IO_L11N_2,2,I/O,TRUE,U,17,8
U9,IO_L10N_2,2,I/O,TRUE,U,17,9
U10,IO_L14N_2/D4,2,DUAL,TRUE,U,17,10
U11,GND,GND,GND,,U,17,11
U12,IO_L17P_2/GCLK0,2,GCLK,TRUE,U,17,12
U13,IO_L20P_2,2,I/O,TRUE,U,17,13
U14,IO_L25P_2,2,I/O,TRUE,U,17,14
U15,IO_L25N_2,2,I/O,TRUE,U,17,15
U16,IO_L28P_2,2,I/O,TRUE,U,17,16
U17,GND,GND,GND,,U,17,17
U18,IO_L01P_1/HDC,1,DUAL,TRUE,U,17,18
U19,IO_L01N_1/LDC2,1,DUAL,TRUE,U,17,19
U20,IO_L09P_1,1,I/O,TRUE,U,17,20
U21,IP_L08N_1/VREF_1,1,VREF,TRUE,U,17,21
U22,IO_L11P_1,1,I/O,TRUE,U,17,22
V1,IO_L33N_3,3,I/O,TRUE,V,18,1
V2,VCCO_3,3,VCCO,,V,18,2
V3,IO_L36N_3,3,I/O,TRUE,V,18,3
V4,IO_L36P_3,3,I/O,TRUE,V,18,4
V5,VCCAUX,VCCAUX,VCCAUX,,V,18,5
V6,IO_L02P_2/M2,2,DUAL,TRUE,V,18,6
V7,IO_L11P_2,2,I/O,TRUE,V,18,7
V8,IO_L06N_2,2,I/O,TRUE,V,18,8
V9,VCCO_2,2,VCCO,,V,18,9
V10,IO_L10P_2,2,I/O,TRUE,V,18,10
V11,IO_L14P_2/D5,2,DUAL,TRUE,V,18,11
V12,IO_L17N_2/GCLK1,2,GCLK,TRUE,V,18,12
V13,IO_L20N_2/MOSI/CSI_B,2,DUAL,TRUE,V,18,13
V14,VCCO_2,2,VCCO,,V,18,14
V15,IP_2/VREF_2,2,VREF,,V,18,15
V16,IO_L28N_2,2,I/O,TRUE,V,18,16
V17,IO_L31N_2/CCLK,2,DUAL,TRUE,V,18,17
V18,VCCAUX,VCCAUX,VCCAUX,,V,18,18
V19,SUSPEND,1,PWRMGMT,,V,18,19
V20,IO_L03N_1/A1,1,DUAL,TRUE,V,18,20
V21,VCCO_1,1,VCCO,,V,18,21
V22,IP_L08P_1,1,INPUT,TRUE,V,18,22
W1,IO_L35N_3,3,I/O,TRUE,W,19,1
W2,IO_L37N_3,3,I/O,TRUE,W,19,2
W3,IO_L37P_3,3,I/O,TRUE,W,19,3
W4,IP_2/VREF_2,2,VREF,,W,19,4
W5,IO_L03P_2,2,I/O,TRUE,W,19,5
W6,IO_L07N_2/VS2,2,DUAL,TRUE,W,19,6
W7,GND,GND,GND,,W,19,7
W8,IO_L06P_2,2,I/O,TRUE,W,19,8
W9,IP_2/VREF_2,2,VREF,,W,19,9
W10,IP_2,2,INPUT,,W,19,10
W11,VCCAUX,VCCAUX,VCCAUX,,W,19,11
W12,GND,GND,GND,,W,19,12
W13,IP_2/VREF_2,2,VREF,,W,19,13
W14,IO_L21N_2,2,I/O,TRUE,W,19,14
W15,IO_L24P_2/INIT_B,2,DUAL,TRUE,W,19,15
W16,GND,GND,GND,,W,19,16
W17,IO_L31P_2/D0/DIN/MISO,2,DUAL,TRUE,W,19,17
W18,IP_2/VREF_2,2,VREF,,W,19,18
W19,IO_L03P_1/A0,1,DUAL,TRUE,W,19,19
W20,IP_L04N_1/VREF_1,1,VREF,TRUE,W,19,20
W21,IP_L04P_1,1,INPUT,TRUE,W,19,21
W22,IO_L06P_1,1,I/O,TRUE,W,19,22
Y1,IO_L35P_3,3,I/O,TRUE,Y,20,1
Y2,IP_L39P_3,3,INPUT,TRUE,Y,20,2
Y3,GND,GND,GND,,Y,20,3
Y4,IO_L03N_2,2,I/O,TRUE,Y,20,4
Y5,IO_L07P_2/RDWR_B,2,DUAL,TRUE,Y,20,5
Y6,IP_2,2,INPUT,,Y,20,6
Y7,IP_2,2,INPUT,,Y,20,7
Y8,IO_L13P_2,2,I/O,TRUE,Y,20,8
Y9,IO_L13N_2,2,I/O,TRUE,Y,20,9
Y10,IO_L15N_2/GCLK13,2,GCLK,TRUE,Y,20,10
Y11,IO_L15P_2/GCLK12,2,GCLK,TRUE,Y,20,11
Y12,IP_2,2,INPUT,,Y,20,12
Y13,IO_L21P_2,2,I/O,TRUE,Y,20,13
Y14,IP_2/VREF_2,2,VREF,,Y,20,14
Y15,IO_L24N_2/D3,2,DUAL,TRUE,Y,20,15
Y16,IO_L29N_2,2,I/O,TRUE,Y,20,16
Y17,IO_L29P_2,2,I/O,TRUE,Y,20,17
Y18,IO_L26P_2/D2,2,DUAL,TRUE,Y,20,18
Y19,IO_L26N_2/D1,2,DUAL,TRUE,Y,20,19
Y20,GND,GND,GND,,Y,20,20
Y21,IO_L02P_1/LDC1,1,DUAL,TRUE,Y,20,21
Y22,IO_L06N_1,1,I/O,TRUE,Y,20,22
