PIN,XC3SD1800AFG676_PIN,XC3SD1800AFG676_BANK,TYPE,DIFF_PAIR,ROW,ROW_#,COLUMN
C18,IO_L17N_0,0,I/O,TRUE,C,3,18
C19,GND,GND,GND,,C,3,19
C20,IO_L11N_0,0,I/O,TRUE,C,3,20
C21,IO_L09P_0,0,I/O,TRUE,C,3,21
C22,IO_L05N_0,0,I/O,TRUE,C,3,22
C23,IO_L06N_0,0,I/O,TRUE,C,3,23
C24,GND,GND,GND,,C,3,24
C25,IO_L63N_1/A23,1,DUAL,TRUE,C,3,25
C26,IO_L63P_1/A22,1,DUAL,TRUE,C,3,26
D1,IP_L08N_3,3,INPUT,TRUE,D,4,1
D2,IP_L08P_3,3,INPUT,TRUE,D,4,2
D3,IO_L06P_3,3,I/O,TRUE,D,4,3
D4,TMS,VCCAUX,JTAG,,D,4,4
D5,IP_0,0,INPUT,,D,4,5
D6,IO_L44N_0,0,I/O,TRUE,D,4,6
D7,IP_0/VREF_0,0,VREF,,D,4,7
D8,IO_L40N_0,0,I/O,TRUE,D,4,8
D9,IO_L37N_0,0,I/O,TRUE,D,4,9
D10,IO_L34N_0,0,I/O,TRUE,D,4,10
D11,IO_L32N_0/VREF_0,0,VREF,TRUE,D,4,11
D12,IP_0,0,INPUT,,D,4,12
D13,IO_L30P_0,0,I/O,TRUE,D,4,13
D14,IP_0/VREF_0,0,VREF,,D,4,14
D15,IP_0,0,INPUT,,D,4,15
D16,IO_L22P_0,0,I/O,TRUE,D,4,16
D17,IO_L21P_0,0,I/O,TRUE,D,4,17
D18,IO_L17P_0,0,I/O,TRUE,D,4,18
D19,IP_0,0,INPUT,,D,4,19
D20,IO_L11P_0,0,I/O,TRUE,D,4,20
D21,IO_L10N_0,0,I/O,TRUE,D,4,21
D22,IO_L05P_0,0,I/O,TRUE,D,4,22
D23,IO_L06P_0,0,I/O,TRUE,D,4,23
D24,IO_L61N_1,1,I/O,TRUE,D,4,24
D25,IO_L61P_1,1,I/O,TRUE,D,4,25
D26,IO_L60N_1,1,I/O,TRUE,D,4,26
E1,IO_L11P_3,3,I/O,TRUE,E,5,1
E2,VCCO_3,3,VCCO,,E,5,2
E3,IO_L07P_3,3,I/O,TRUE,E,5,3
E4,IO_L06N_3,3,I/O,TRUE,E,5,4
E5,VCCAUX,VCCAUX,VCCAUX,,E,5,5
E6,IP_0,0,INPUT,,E,5,6
E7,IO_L48N_0,0,I/O,TRUE,E,5,7
E8,VCCO_0,0,VCCO,,E,5,8
E9,IP_0,0,INPUT,,E,5,9
E10,IO_L37P_0,0,I/O,TRUE,E,5,10
E11,IP_0,0,INPUT,,E,5,11
E12,IO_L31P_0,0,I/O,TRUE,E,5,12
E13,VCCO_0,0,VCCO,,E,5,13
E14,IO_L24P_0,0,I/O,TRUE,E,5,14
E15,IO_L20N_0/VREF_0,0,VREF,TRUE,E,5,15
E16,VCCAUX,VCCAUX,VCCAUX,,E,5,16
E17,IO_L13N_0,0,I/O,TRUE,E,5,17
E18,IP_0,0,INPUT,,E,5,18
E19,VCCO_0,0,VCCO,,E,5,19
E20,IP_0,0,INPUT,,E,5,20
E21,IO_L10P_0,0,I/O,TRUE,E,5,21
E22,VCCAUX,VCCAUX,VCCAUX,,E,5,22
E23,TDO,VCCAUX,JTAG,,E,5,23
E24,IO_L56P_1,1,I/O,TRUE,E,5,24
E25,VCCO_1,1,VCCO,,E,5,25
E26,IO_L60P_1,1,I/O,TRUE,E,5,26
F1,GND,GND,GND,,F,6,1
F2,IO_L11N_3,3,I/O,TRUE,F,6,2
F3,IO_L14N_3,3,I/O,TRUE,F,6,3
F4,IO_L07N_3,3,I/O,TRUE,F,6,4
F5,IO_L09P_3,3,I/O,TRUE,F,6,5
F6,GND,GND,GND,,F,6,6
F7,IO_L48P_0,0,I/O,TRUE,F,6,7
F8,IO_L52P_0/VREF_0,0,VREF,TRUE,F,6,8
F9,IP_0,0,INPUT,,F,6,9
F10,IP_0,0,INPUT,,F,6,10
F11,GND,GND,GND,,F,6,11
F12,IO_L31N_0,0,I/O,TRUE,F,6,12
F13,IO_L27P_0/GCLK8,0,GCLK,TRUE,F,6,13
F14,IO_L24N_0,0,I/O,TRUE,F,6,14
F15,IO_L20P_0,0,I/O,TRUE,F,6,15
F16,GND,GND,GND,,F,6,16
F17,IO_L13P_0,0,I/O,TRUE,F,6,17
F18,IP_0,0,INPUT,,F,6,18
F19,IO_L02N_0,0,I/O,TRUE,F,6,19
F20,IO_L01N_0,0,I/O,TRUE,F,6,20
F21,GND,GND,GND,,F,6,21
F22,IO_L58P_1/VREF_1,1,VREF,TRUE,F,6,22
F23,IO_L56N_1,1,I/O,TRUE,F,6,23
F24,IO_L54N_1,1,I/O,TRUE,F,6,24
F25,IO_L54P_1,1,I/O,TRUE,F,6,25
F26,GND,GND,GND,,F,6,26
G1,IP_L16N_3,3,INPUT,TRUE,G,7,1
G2,IP_L16P_3,3,INPUT,TRUE,G,7,2
G3,IO_L14P_3,3,I/O,TRUE,G,7,3
G4,IO_L09N_3,3,I/O,TRUE,G,7,4
G5,IP_L12P_3,3,INPUT,TRUE,G,7,5
G6,IO_L03P_3,3,I/O,TRUE,G,7,6
G7,TDI,VCCAUX,JTAG,,G,7,7
G8,IO_L52N_0/PUDC_B,0,DUAL,TRUE,G,7,8
G9,IO_L47P_0,0,I/O,TRUE,G,7,9
G10,IO_L46P_0,0,I/O,TRUE,G,7,10
G11,IP_0/VREF_0,0,VREF,,G,7,11
G12,IO_L35P_0,0,I/O,TRUE,G,7,12
G13,IO_L27N_0/GCLK9,0,GCLK,TRUE,G,7,13
G14,IP_0,0,INPUT,,G,7,14
G15,IO_L16P_0,0,I/O,TRUE,G,7,15
G16,IP_0,0,INPUT,,G,7,16
G17,IO_L08N_0,0,I/O,TRUE,G,7,17
G18,IP_0,0,INPUT,,G,7,18
G19,IO_L02P_0/VREF_0,0,VREF,TRUE,G,7,19
G20,IO_L01P_0,0,I/O,TRUE,G,7,20
G21,IO_L64N_1/A25,1,DUAL,TRUE,G,7,21
G22,IO_L58N_1,1,I/O,TRUE,G,7,22
G23,IO_L51P_1,1,I/O,TRUE,G,7,23
G24,IO_L51N_1,1,I/O,TRUE,G,7,24
G25,IP_L52N_1/VREF_1,1,VREF,TRUE,G,7,25
G26,IP_L52P_1,1,INPUT,TRUE,G,7,26
H1,IO_L17N_3,3,I/O,TRUE,H,8,1
H2,IO_L17P_3,3,I/O,TRUE,H,8,2
H3,GND,GND,GND,,H,8,3
H4,IP_L12N_3/VREF_3,3,VREF,TRUE,H,8,4
H5,VCCO_3,3,VCCO,,H,8,5
H6,IO_L10N_3,3,I/O,TRUE,H,8,6
H7,IO_L03N_3,3,I/O,TRUE,H,8,7
H8,GND,GND,GND,,H,8,8
H9,IO_L47N_0,0,I/O,TRUE,H,8,9
H10,IO_L46N_0,0,I/O,TRUE,H,8,10
H11,VCCO_0,0,VCCO,,H,8,11
H12,IO_L35N_0,0,I/O,TRUE,H,8,12
H13,IP_0,0,INPUT,,H,8,13
H14,GND,GND,GND,,H,8,14
H15,IO_L16N_0,0,I/O,TRUE,H,8,15
H16,VCCO_0,0,VCCO,,H,8,16
H17,IO_L08P_0,0,I/O,TRUE,H,8,17
H18,IP_0,0,INPUT,,H,8,18
H19,GND,GND,GND,,H,8,19
H20,IO_L64P_1/A24,1,DUAL,TRUE,H,8,20
H21,IO_L62N_1/A21,1,DUAL,TRUE,H,8,21
H22,VCCO_1,1,VCCO,,H,8,22
H23,IP_L48P_1,1,INPUT,TRUE,H,8,23
H24,IP_L48N_1,1,INPUT,TRUE,H,8,24
H25,IP_L44N_1,1,INPUT,TRUE,H,8,25
H26,IP_L44P_1/VREF_1,1,VREF,TRUE,H,8,26
J1,IP_L24P_3,3,INPUT,TRUE,J,9,1
J2,IP_L20N_3/VREF_3,3,VREF,TRUE,J,9,2
J3,IP_L20P_3,3,INPUT,TRUE,J,9,3
J4,IO_L19N_3,3,I/O,TRUE,J,9,4
J5,IO_L19P_3,3,I/O,TRUE,J,9,5
J6,IO_L13N_3,3,I/O,TRUE,J,9,6
J7,IO_L10P_3,3,I/O,TRUE,J,9,7
J8,IO_L01P_3,3,I/O,TRUE,J,9,8
J9,IO_L01N_3,3,I/O,TRUE,J,9,9
J10,IP_0,0,INPUT,,J,9,10
J11,IO_L43P_0,0,I/O,TRUE,J,9,11
J12,IO_L39P_0,0,I/O,TRUE,J,9,12
J13,IP_0,0,INPUT,,J,9,13
J14,IO_L25N_0/GCLK5,0,GCLK,TRUE,J,9,14
J15,IP_0,0,INPUT,,J,9,15
J16,IO_L12P_0,0,I/O,TRUE,J,9,16
J17,IP_0/VREF_0,0,VREF,,J,9,17
J18,VCCAUX,VCCAUX,VCCAUX,,J,9,18
J19,IO_L59P_1,1,I/O,TRUE,J,9,19
J20,IO_L59N_1,1,I/O,TRUE,J,9,20
J21,IO_L62P_1/A20,1,DUAL,TRUE,J,9,21
J22,IO_L49N_1,1,I/O,TRUE,J,9,22
J23,IO_L49P_1,1,I/O,TRUE,J,9,23
J24,GND,GND,GND,,J,9,24
J25,IO_L43N_1/A19,1,DUAL,TRUE,J,9,25
J26,IO_L43P_1/A18,1,DUAL,TRUE,J,9,26
K1,IP_L24N_3,3,INPUT,TRUE,K,10,1
K2,IO_L23N_3,3,I/O,TRUE,K,10,2
K3,IO_L23P_3,3,I/O,TRUE,K,10,3
K4,IO_L22N_3,3,I/O,TRUE,K,10,4
K5,IO_L22P_3,3,I/O,TRUE,K,10,5
K6,IO_L18P_3,3,I/O,TRUE,K,10,6
K7,IO_L13P_3,3,I/O,TRUE,K,10,7
K8,IO_L05N_3,3,I/O,TRUE,K,10,8
K9,IO_L05P_3,3,I/O,TRUE,K,10,9
K10,GND,GND,GND,,K,10,10
K11,IO_L43N_0,0,I/O,TRUE,K,10,11
K12,IO_L39N_0,0,I/O,TRUE,K,10,12
K13,VCCAUX,VCCAUX,VCCAUX,,K,10,13
K14,IO_L25P_0/GCLK4,0,GCLK,TRUE,K,10,14
K15,VCCINT,VCCINT,VCCINT,,K,10,15
K16,IO_L12N_0,0,I/O,TRUE,K,10,16
K17,GND,GND,GND,,K,10,17
K18,IO_L57N_1,1,I/O,TRUE,K,10,18
K19,IO_L57P_1,1,I/O,TRUE,K,10,19
K20,IO_L53N_1,1,I/O,TRUE,K,10,20
K21,IO_L50N_1,1,I/O,TRUE,K,10,21
K22,IO_L46N_1,1,I/O,TRUE,K,10,22
K23,IO_L46P_1,1,I/O,TRUE,K,10,23
K24,IP_L40P_1,1,INPUT,TRUE,K,10,24
K25,IO_L41P_1,1,I/O,TRUE,K,10,25
K26,IO_L41N_1,1,I/O,TRUE,K,10,26
L1,GND,GND,GND,,L,11,1
L2,VCCO_3,3,VCCO,,L,11,2
L3,IO_L25N_3,3,I/O,TRUE,L,11,3
L4,IO_L25P_3,3,I/O,TRUE,L,11,4
L5,VCCAUX,VCCAUX,VCCAUX,,L,11,5
L6,GND,GND,GND,,L,11,6
L7,IO_L18N_3,3,I/O,TRUE,L,11,7
L8,VCCO_3,3,VCCO,,L,11,8
L9,IO_L15N_3,3,I/O,TRUE,L,11,9
L10,IO_L15P_3,3,I/O,TRUE,L,11,10
L11,GND,GND,GND,,L,11,11
L12,VCCINT,VCCINT,VCCINT,,L,11,12
L13,GND,GND,GND,,L,11,13
L14,VCCINT,VCCINT,VCCINT,,L,11,14
L15,GND,GND,GND,,L,11,15
L16,VCCINT,VCCINT,VCCINT,,L,11,16
L17,IO_L55N_1,1,I/O,TRUE,L,11,17
L18,IO_L55P_1,1,I/O,TRUE,L,11,18
L19,VCCO_1,1,VCCO,,L,11,19
L20,IO_L53P_1,1,I/O,TRUE,L,11,20
L21,GND,GND,GND,,L,11,21
L22,IO_L50P_1,1,I/O,TRUE,L,11,22
L23,IP_L40N_1,1,INPUT,TRUE,L,11,23
L24,IO_L38P_1/A12,1,DUAL,TRUE,L,11,24
L25,VCCO_1,1,VCCO,,L,11,25
L26,GND,GND,GND,,L,11,26
M1,IO_L29N_3/VREF_3,3,VREF,TRUE,M,12,1
M2,IO_L29P_3,3,I/O,TRUE,M,12,2
M3,IO_L27N_3,3,I/O,TRUE,M,12,3
M4,IO_L27P_3,3,I/O,TRUE,M,12,4
M5,IO_L28P_3,3,I/O,TRUE,M,12,5
M6,IO_L28N_3,3,I/O,TRUE,M,12,6
M7,IO_L26N_3,3,I/O,TRUE,M,12,7
M8,IO_L26P_3,3,I/O,TRUE,M,12,8
M9,IO_L21N_3,3,I/O,TRUE,M,12,9
M10,IO_L21P_3,3,I/O,TRUE,M,12,10
M11,VCCINT,VCCINT,VCCINT,,M,12,11
M12,GND,GND,GND,,M,12,12
M13,VCCINT,VCCINT,VCCINT,,M,12,13
M14,GND,GND,GND,,M,12,14
M15,VCCINT,VCCINT,VCCINT,,M,12,15
M16,GND,GND,GND,,M,12,16
M17,VCCINT,VCCINT,VCCINT,,M,12,17
M18,IO_L47N_1,1,I/O,TRUE,M,12,18
M19,IO_L47P_1,1,I/O,TRUE,M,12,19
M20,IO_L42N_1/A17,1,DUAL,TRUE,M,12,20
M21,IO_L45P_1,1,I/O,TRUE,M,12,21
M22,IO_L45N_1,1,I/O,TRUE,M,12,22
M23,IO_L38N_1/A13,1,DUAL,TRUE,M,12,23
M24,IP_L36P_1/VREF_1,1,VREF,TRUE,M,12,24
M25,IO_L35N_1/A11,1,DUAL,TRUE,M,12,25
M26,IO_L35P_1/A10,1,DUAL,TRUE,M,12,26
N1,IO_L31P_3,3,I/O,TRUE,N,13,1
N2,IO_L31N_3,3,I/O,TRUE,N,13,2
N3,GND,GND,GND,,N,13,3
N4,IO_L30N_3,3,I/O,TRUE,N,13,4
N5,IO_L30P_3,3,I/O,TRUE,N,13,5
N6,IO_L32P_3/LHCLK0,3,LHCLK,TRUE,N,13,6
N7,IO_L32N_3/LHCLK1,3,LHCLK,TRUE,N,13,7
N8,GND,GND,GND,,N,13,8
N9,IO_L35P_3/TRDY2/LHCLK6,3,LHCLK,TRUE,N,13,9
N10,VCCAUX,VCCAUX,VCCAUX,,N,13,10
N11,GND,GND,GND,,N,13,11
N12,VCCINT,VCCINT,VCCINT,,N,13,12
N13,VCCINT,VCCINT,VCCINT,,N,13,13
N14,VCCINT,VCCINT,VCCINT,,N,13,14
N15,GND,GND,GND,,N,13,15
N16,VCCINT,VCCINT,VCCINT,,N,13,16
N17,IO_L39N_1/A15,1,DUAL,TRUE,N,13,17
N18,IO_L39P_1/A14,1,DUAL,TRUE,N,13,18
N19,IO_L34N_1/RHCLK7,1,RHCLK,TRUE,N,13,19
