PIN,BANK,XC3S1400AFT256,TYPE,DIFF_PAIR,ROW,COL
L14,1,IO_L08P_1/A6,DUAL,TRUE,L,14
L15,GND,GND,GND,,L,15
L16,1,IO_L08N_1/A7,DUAL,TRUE,L,16
M1,3,IO_L20P_3,I/O,TRUE,M,1
M2,3,VCCO_3,VCCO,,M,2
M3,3,IO_L19P_3,I/O,TRUE,M,3
M4,3,IO_L24N_3,I/O,TRUE,M,4
M5,GND,GND,GND,,M,5
M6,VCCAUX,VCCAUX,VCCAUX,,M,6
M7,2,IP_2/VREF_2,VREF,,M,7
M8,GND,GND,GND,,M,8
M9,2,IP_2/VREF_2,VREF,,M,9
M10,VCCAUX,VCCAUX,VCCAUX,,M,10
M11,2,IP_2/VREF_2,VREF,,M,11
M12,GND,GND,GND,,M,12
M13,1,IP_1/VREF_1,VREF,,M,13
M14,1,IP_1/VREF_1,VREF,,M,14
M15,1,IO_L07P_1/A4,DUAL,TRUE,M,15
M16,1,IO_L07N_1/A5,DUAL,TRUE,M,16
N1,3,IO_L20N_3,I/O,TRUE,N,1
N2,3,IO_L22P_3/VREF_3,VREF,TRUE,N,2
N3,3,IO_L24P_3,I/O,TRUE,N,3
N4,2,IO_L01P_2/M1,DUAL,TRUE,N,4
N5,2,IP_2/VREF_2,VREF,,N,5
N6,2,IO_L04P_2/VS1,DUAL,TRUE,N,6
N7,GND,GND,GND,,N,7
N8,2,IO_L08N_2/D4,DUAL,TRUE,N,8
N9,2,IO_L11P_2/GCLK0,GCLK,TRUE,N,9
N10,GND,GND,GND,,N,10
N11,2,IO_L16N_2,I/O,TRUE,N,11
N12,2,IO_L19P_2,I/O,TRUE,N,12
N13,1,IO_L01P_1/HDC,DUAL,TRUE,N,13
N14,1,IO_L01N_1/LDC2,DUAL,TRUE,N,14
N15,1,VCCO_1,VCCO,,N,15
N16,1,IO_L03N_1/A1,DUAL,TRUE,N,16
P1,3,IO_L22N_3,I/O,TRUE,P,1
P2,3,IO_L23N_3,I/O,TRUE,P,2
P3,GND,GND,GND,,P,3
P4,2,IO_L01N_2/M0,DUAL,TRUE,P,4
P5,2,IO_L04N_2/VS0,DUAL,TRUE,P,5
P6,2,IP_2/VREF_2,VREF,,P,6
P7,2,IO_L08P_2/D5,DUAL,TRUE,P,7
P8,2,IO_L10P_2/GCLK14,GCLK,TRUE,P,8
P9,2,IO_L11N_2/GCLK1,GCLK,TRUE,P,9
P10,2,IO_L14N_2/MOSI/CSI_B,DUAL,TRUE,P,10
P11,2,IO_L16P_2,I/O,TRUE,P,11
P12,2,IO_L17N_2/D3,DUAL,TRUE,P,12
P13,2,IO_L19N_2,I/O,TRUE,P,13
P14,GND,GND,GND,,P,14
P15,1,IO_L02N_1/LDC0,DUAL,TRUE,P,15
P16,1,IO_L03P_1/A0,DUAL,TRUE,P,16
R1,3,IO_L23P_3,I/O,TRUE,R,1
R2,2,IO_L02P_2/M2,DUAL,TRUE,R,2
R3,2,IO_L03P_2/RDWR_B,DUAL,TRUE,R,3
R4,2,VCCO_2,VCCO,,R,4
R5,2,IO_L05N_2,I/O,TRUE,R,5
R6,GND,GND,GND,,R,6
R7,2,IO_L09P_2/GCLK12,GCLK,TRUE,R,7
R8,2,VCCO_2,VCCO,,R,8
R9,2,IO_L12P_2/GCLK2,GCLK,TRUE,R,9
R10,GND,GND,GND,,R,10
R11,2,IO_L15N_2/DOUT,DUAL,TRUE,R,11
R12,2,VCCO_2,VCCO,,R,12
R13,2,IO_L18N_2/D1,DUAL,TRUE,R,13
R14,2,IO_L20N_2/CCLK,DUAL,TRUE,R,14
R15,1,IO_L02P_1/LDC1,DUAL,TRUE,R,15
R16,VCCAUX,SUSPEND,PWRMGT,,R,16
T1,GND,GND,GND,,T,1
T2,2,IO_L02N_2/CSO_B,DUAL,TRUE,T,2
T3,2,IO_L03N_2/VS2,DUAL,TRUE,T,3
T4,2,IO_L05P_2,I/O,TRUE,T,4
T5,2,IO_L06P_2/D7,DUAL,TRUE,T,5
T6,2,IO_L06N_2/D6,DUAL,TRUE,T,6
T7,2,IO_L09N_2/GCLK13,GCLK,TRUE,T,7
T8,2,IO_L10N_2/GCLK15,GCLK,TRUE,T,8
T9,2,IO_L12N_2/GCLK3,GCLK,TRUE,T,9
T10,2,IO_L14P_2,I/O,TRUE,T,10
T11,2,IO_L15P_2/AWAKE,PWRMGT,TRUE,T,11
T12,2,IO_L17P_2/INIT_B,DUAL,TRUE,T,12
T13,2,IO_L18P_2/D2,DUAL,TRUE,T,13
T14,2,IO_L20P_2/D0/DIN/MISO,DUAL,TRUE,T,14
T15,VCCAUX,DONE,CONFIG,,T,15
T16,GND,GND,GND,,T,16
